UserID,Name,Surname,Email,Gender,Race,Age,Province,Social Media Handle,Viewership.UserID,Viewership.Channel2,Viewership.RecordDate2,Viewership date,Viewership time,Viewership.Duration 2,Viewership.userid2,Column1
802352,None,None,Shelley 34@abcmail.com,None,None,0,None,None,802352,ICC Cricket World Cup 2011,2016-03-30T09:04:00.000Z,2016-03-30T00:00:00.000Z,1899-12-31T09:04:00.000Z,0.007013889,802352,null
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,9,Eastern Cape,@Shelley 23,793571,SawSee,2016-02-02T17:18:00.000Z,2016-02-02T00:00:00.000Z,1899-12-31T17:18:00.000Z,0.001076389,793571,null
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,9,Eastern Cape,@Shelley 23,793571,Boomerang,2016-03-18T16:56:00.000Z,2016-03-18T00:00:00.000Z,1899-12-31T16:56:00.000Z,0.000115741,793571,null
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,9,Eastern Cape,@Shelley 23,793571,Channel O,2016-03-20T04:25:00.000Z,2016-03-20T00:00:00.000Z,1899-12-31T04:25:00.000Z,0.011979167,793571,null
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,9,Eastern Cape,@Shelley 23,793571,Boomerang,2016-02-03T06:43:00.000Z,2016-02-03T00:00:00.000Z,1899-12-31T06:43:00.000Z,0.000844907,793571,null
787656,Garry ,Sytsma,Garry 284@abcmail.com,male,black,26,Gauteng,@Garry 28,787656,Channel O,2016-02-15T08:40:00.000Z,2016-02-15T00:00:00.000Z,1899-12-31T08:40:00.000Z,0.0078125,787656,null
771778,Yong ,Paradis,Yong 484@abcmail.com,male,black,21,Eastern Cape,@Yong 48,771778,Supersport Live Events,2016-02-05T13:47:00.000Z,2016-02-05T00:00:00.000Z,1899-12-31T13:47:00.000Z,0.002916667,771778,null
808915,Cory ,Mcclaine,Cory 105@mailxyz.com,male,black,37,Kwazulu Natal,@Cory 10,808915,SuperSport Blitz,2016-02-20T05:34:00.000Z,2016-02-20T00:00:00.000Z,1899-12-31T05:34:00.000Z,0.000856481,808915,null
808915,Cory ,Mcclaine,Cory 105@mailxyz.com,male,black,37,Kwazulu Natal,@Cory 10,808915,Supersport Live Events,2016-02-21T13:45:00.000Z,2016-02-21T00:00:00.000Z,1899-12-31T13:45:00.000Z,0.000578704,808915,null
808916,Donald ,Zweifel,Donald 224@abcmail.com,male,None,43,Western Cape,@Donald 22,808916,E! Entertainment,2016-02-19T11:03:00.000Z,2016-02-19T00:00:00.000Z,1899-12-31T11:03:00.000Z,0.001180556,808916,null
808916,Donald ,Zweifel,Donald 224@abcmail.com,male,None,43,Western Cape,@Donald 22,808916,Boomerang,2016-02-19T20:15:00.000Z,2016-02-19T00:00:00.000Z,1899-12-31T20:15:00.000Z,0,808916,null
808917,Carter ,Tatham,Carter 34@abcmail.com,male,black,34,Gauteng,@Carter 3,808917,Break in transmission,2016-02-27T18:13:00.000Z,2016-02-27T00:00:00.000Z,1899-12-31T18:13:00.000Z,0.000300926,808917,null
808917,Carter ,Tatham,Carter 34@abcmail.com,male,black,34,Gauteng,@Carter 3,808917,Supersport Live Events,2016-02-28T20:20:00.000Z,2016-02-28T00:00:00.000Z,1899-12-31T20:20:00.000Z,0.000277778,808917,null
808921,Filiberto ,Pilot,Filiberto 44@abcmail.com,male,black,24,Mpumalanga,@Filiberto 4,808921,Trace TV,2016-03-02T06:01:00.000Z,2016-03-02T00:00:00.000Z,1899-12-31T06:01:00.000Z,0.0128125,808921,null
808921,Filiberto ,Pilot,Filiberto 44@abcmail.com,male,black,24,Mpumalanga,@Filiberto 4,808921,Channel O,2016-03-06T15:58:00.000Z,2016-03-06T00:00:00.000Z,1899-12-31T15:58:00.000Z,0.000555556,808921,null
761775,Stacy ,Mcculloch,Stacy 271@yahoo.com,male,None,24,Gauteng,@Stacy 27,761775,Cartoon Network,2016-02-04T14:12:00.000Z,2016-02-04T00:00:00.000Z,1899-12-31T14:12:00.000Z,0.0015625,761775,null
761775,Stacy ,Mcculloch,Stacy 271@yahoo.com,male,None,24,Gauteng,@Stacy 27,761775,SuperSport Blitz,2016-01-25T15:59:00.000Z,2016-01-25T00:00:00.000Z,1899-12-31T15:59:00.000Z,0.000856481,761775,null
808923,Art ,Nicholls,Art 405@mailxyz.com,male,other,23,Eastern Cape,@Art 40,808923,SuperSport Blitz,2016-02-21T18:03:00.000Z,2016-02-21T00:00:00.000Z,1899-12-31T18:03:00.000Z,0.000833333,808923,null
808923,Art ,Nicholls,Art 405@mailxyz.com,male,other,23,Eastern Cape,@Art 40,808923,Trace TV,2016-02-17T18:45:00.000Z,2016-02-17T00:00:00.000Z,1899-12-31T18:45:00.000Z,0.009270833,808923,null
808926,Bret ,Mccollum,Bret 313@mail.com,male,coloured,22,Western Cape,@Bret 31,808926,Supersport Live Events,2016-02-19T07:20:00.000Z,2016-02-19T00:00:00.000Z,1899-12-31T07:20:00.000Z,0.061898148,808926,null
808926,Bret ,Mccollum,Bret 313@mail.com,male,coloured,22,Western Cape,@Bret 31,808926,Channel O,2016-02-21T06:27:00.000Z,2016-02-21T00:00:00.000Z,1899-12-31T06:27:00.000Z,0.00125,808926,null
808926,Bret ,Mccollum,Bret 313@mail.com,male,coloured,22,Western Cape,@Bret 31,808926,Trace TV,2016-02-02T10:17:00.000Z,2016-02-02T00:00:00.000Z,1899-12-31T10:17:00.000Z,0.000763889,808926,null
